algo,qps,mean_ltc_ns,ltc_999_ns,Graph_IO,Emb_IO,Ext_Cmp,PQ_Cmp,Pre_T,Disp_T,Read_T,Page_T,Cache_T,DiskN_T,Post_T,Mem_MB,recall_pct,recall,mean_latency_ms
DiskANN,6321.74,4932.0,9175.0,32.6,0.0,32.6,4172.93,0.06,0.03,4488.83,0.0,0.0,382.72,1.09,2513.0,50.76,50.75999999999999,0.004932
DiskANN,6088.14,5167.0,9101.0,34.52,0.0,34.52,4417.96,0.0,0.04,4708.71,0.0,0.01,397.29,1.07,2513.0,54.47,54.47,0.005167
DiskANN,5946.3,5307.0,9235.0,36.24,0.0,36.24,4638.96,0.0,0.02,4830.46,0.0,0.0,412.57,1.14,2513.0,57.08,57.08,0.005307
DiskANN,5711.93,5509.0,9483.0,38.09,0.0,38.09,4875.49,0.0,0.03,5009.73,0.0,0.0,433.8,1.17,2513.0,59.97,59.97,0.005509
DiskANN,5431.42,5809.0,9580.0,39.86,0.0,39.86,5102.5,0.0,0.04,5283.85,0.0,0.01,455.73,1.22,2513.0,62.24,62.24000000000001,0.005809
DiskANN,5135.5,6116.0,11556.0,41.69,0.0,41.69,5336.42,0.01,0.04,5569.24,0.0,0.01,476.66,1.35,2513.0,64.27,64.27,0.006116
DiskANN,4870.5,6474.0,11036.0,43.45,0.0,43.45,5561.6,0.01,0.03,5897.57,0.0,0.01,503.28,1.37,2513.0,66.19,66.19,0.006474
DiskANN,4667.63,6744.0,11694.0,45.23,0.0,45.23,5789.52,0.02,0.04,6080.75,0.0,0.02,588.28,1.54,2513.0,67.65,67.65,0.006744
DiskANN,4574.12,6904.0,11206.0,47.02,0.0,47.02,6018.74,0.0,0.04,6284.63,0.0,0.0,542.93,1.59,2513.0,69.08,69.08,0.006904
DiskANN,4328.5,7277.0,10894.0,48.9,0.0,48.9,6259.46,0.0,0.03,6620.08,0.0,0.01,577.85,1.79,2513.0,70.87,70.87,0.007277
DiskANN,4198.39,7487.0,11992.0,50.65,0.0,50.65,6483.46,0.0,0.04,6808.49,0.0,0.0,597.26,1.86,2514.0,72.14,72.14,0.007487
